PELEADORES


    Mago 6        a     Mago 7         
 Arquero 4         0         3
 Arquero 5         4         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         4         4


ATAQUE ESPECIAL -> Y LO MATA
    Mago 8        a Guerrero 2         

Guerrero 0         0         4
Guerrero 1         3         3
Guerrero 2         0         1
 Arquero 3         3         4
 Arquero 4         0         3
 Arquero 5         4         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         4         1


Guerrero 1        a  Arquero 3         

Guerrero 0         0         4
Guerrero 1         3         4
Guerrero 2         0         1
 Arquero 3         2         4
 Arquero 4         0         3
 Arquero 5         4         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         4         1


ATAQUE ESPECIAL
Guerrero 1        a     Mago 8         

Guerrero 0         0         4
Guerrero 1         3         1
Guerrero 2         0         1
 Arquero 3         2         4
 Arquero 4         0         3
 Arquero 5         4         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         1         1


    Mago 8        a  Arquero 3         

Guerrero 0         0         4
Guerrero 1         3         1
Guerrero 2         0         1
 Arquero 3         1         4
 Arquero 4         0         3
 Arquero 5         4         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         1         2


ATAQUE ESPECIAL
 Arquero 3        a  Arquero 5         

Guerrero 0         0         4
Guerrero 1         3         1
Guerrero 2         0         1
 Arquero 3         1         1
 Arquero 4         0         3
 Arquero 5         1         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         1         2

 -> Y LO MATA
Guerrero 1        a  Arquero 5         

Guerrero 0         0         4
Guerrero 1         3         2
Guerrero 2         0         1
 Arquero 3         1         1
 Arquero 4         0         3
 Arquero 5         0         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         1         2


    Mago 8        a Guerrero 1         

Guerrero 0         0         4
Guerrero 1         2         2
Guerrero 2         0         1
 Arquero 3         1         1
 Arquero 4         0         3
 Arquero 5         0         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         1         3


 Arquero 3        a Guerrero 1         

Guerrero 0         0         4
Guerrero 1         1         2
Guerrero 2         0         1
 Arquero 3         1         2
 Arquero 4         0         3
 Arquero 5         0         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         1         3

 -> Y LO MATA
 Arquero 3        a Guerrero 1         

Guerrero 0         0         4
Guerrero 1         0         2
Guerrero 2         0         1
 Arquero 3         1         3
 Arquero 4         0         3
 Arquero 5         0         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         1         3

 -> Y LO MATA
    Mago 8        a  Arquero 3         

Guerrero 0         0         4
Guerrero 1         0         2
Guerrero 2         0         1
 Arquero 3         0         3
 Arquero 4         0         3
 Arquero 5         0         3
    Mago 6        -1         3
    Mago 7        -2         3
    Mago 8         1         4
    Mago 8         1         4
